Подразделение,Магазин ID,Наименование магазина,Бюджет товарооборот,Среднемесячный товарооборот,План золото 2026,Доход золото. Коэффициент 6%,План серебро 2026,Доход серебро. Коэффициент 9%,План Аксессуары 2026,Доход Аксессуары. Коэффициент 6%,План кожа 2026,План кожзам и товары с коэффициентом обуви 
Сочи,10373.0,"Геленджик, ТЦ BB Passage",82852985.18749991,6904415.4322916595,895734.7622675055,53744.08573605033,400000.0,36000.0,951668.1033554686,57100.086201328115,1759368.2810128394,2897644.285655846
Черноморское,10374.0,"Ростов-на-Дону, ТЦ Миллениум",66806890.76250003,5567240.896875002,1071576.0962586196,64294.56577551717,400000.0,36000.0,455471.56681289524,27328.29400877371,1643361.3013879356,1996831.9324155517
Кавказ,10401.0,"Нальчик, ЦУМ",46928427.114450924,3910702.259537577,581000.8227982003,34860.04936789202,400000.0,36000.0,679322.5839666747,40759.35503800048,585947.0504216829,1664431.802351019
Кавказ,10557.0,"Георгиевск, ТЦ Россия",67162189.44749998,5596849.120624998,726099.4599286673,43565.96759572004,562087.6807230549,50587.89126507494,758717.9442696536,45523.07665617922,1294906.210709747,2255037.824993875
Кавказ,10595.0,"Владикавказ, ЦУМ",39552525.097500004,3296043.758125,0.0,0.0,400000.0,36000.0,530996.9359472216,31859.816156833294,681711.59650306,1683335.2256747186
Краснодар,10628.0,"Краснодар, ТЦ Юбилейный",41504058.27500004,3458671.5229166704,0.0,0.0,400000.0,36000.0,517617.09422909166,31057.0256537455,855884.8710040735,1685169.5576835056
Кавказ,10640.0,"Махачкала, ТЦ Седьмой континент",69242539.3475,5770211.612291667,748590.4023961319,44915.42414376791,400000.0,36000.0,814073.6427056042,48844.41856233625,864571.479324375,2942976.0878655547
Краснодар,10745.0,"Краснодар, ТЦ Московский",67314103.94750002,5609508.662291668,1010605.0658031857,60636.30394819114,597658.6910529908,53789.28219476918,740254.5678046296,44415.27406827777,1156738.295809637,2104252.0418212246
Ростов,10775.0,"Тихорецк, ТЦ Империя",65859392.4025,5488282.700208333,833213.1550743596,49992.78930446158,400000.0,36000.0,689922.2341084335,41395.33404650601,1278100.8237644886,2287046.4872610513
Крым,10810.0,"Анапа, ТРЦ Красная площадь",134954637.29000008,11246219.774166673,1459012.728102565,87540.76368615389,575554.783186858,51799.930486817226,1492798.2816424442,89567.89689854665,3075470.961105926,4643383.02012888
